Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Chile,CHL,10.1,5.6,..,0.5,..,0.4,..,..,1.3,..,0.4,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,China,CHN,51.5,..,3,2.1,1.6,1.4,0.9,0.5,0.3,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Colombia,COL,..,16.9,5.2,4.7,4.7,4.3,4.4,5,8.5,6.6,5.5,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Comoros,COM,..,..,16.1,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,59.3,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Costa Rica,CRI,9.5,6.3,1.5,1.5,1.4,1,1.4,1.1,2.2,1.2,1,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Cote d'Ivoire,CIV,..,..,..,27.2,..,..,12,..,..,10.9,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Croatia,HRV,..,..,0.9,0.5,0.6,0.5,0.4,0.3,0.3,0.3,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Cyprus,CYP,..,..,0.1,0,0,0,0,0.2,0,0,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Czechia,CZE,..,..,0,0,0,0,0,0,0,0,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Denmark,DNK,..,0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Djibouti,DJI,..,..,..,..,..,16.5,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Dominican Republic,DOM,..,6.1,3.1,2.6,2.3,1.4,0.9,0.9,1.3,1.1,0.9,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Ecuador,ECU,..,23.1,2.7,3.3,3.3,3,3.1,3.3,5.4,3.6,3.1,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Egypt, Arab Rep.",EGY,8.1,..,..,2.3,..,4.5,..,3.4,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,El Salvador,SLV,..,11.2,3.8,2.9,3.2,2.5,2.3,1.6,..,3.2,3.2,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Estonia,EST,..,..,0.7,0.5,0.4,0.3,0.3,0.5,0.3,0.3,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Eswatini,SWZ,..,41.2,..,..,27.4,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Ethiopia,ETH,..,..,..,23.5,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Fiji,FJI,..,..,..,..,..,..,..,2.6,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Finland,FIN,..,0,0.1,0.1,0,0.1,0.1,0,0,0,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,France,FRA,0.1,0.1,0,0.1,0.1,0,0,0,0.1,0.1,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Gabon,GAB,..,..,..,..,..,2.5,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Gambia, The",GMB,..,..,..,13.6,..,..,..,..,16,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Georgia,GEO,..,19.8,6.4,5.5,5.6,6,5.8,5.2,6.2,5.5,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Germany,DEU,..,0,0,0,0,0.3,0,0,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Ghana,GHA,..,..,..,..,20.8,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Greece,GRC,..,0.5,1.4,1.3,0.9,0.7,0.1,0.7,0.8,0.6,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Grenada,GRD,..,..,..,..,..,..,0.3,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
