country_name,country_code,status,access_to_electricity,gross_domestic_income,life_expectancy,control_of_corruption_percentile,control_of_corruption_estimate,population_0_14%,population_65_above_total,population_15_64_total,consumer_price_index_2010,inflation_annual%,gdp_current_usd,gdp_growth_annual%,gdp_per_capita_current_usd,imports_%gdp,military_expenditure_%gdp,high_technology_exports_usd,freedom_status,political_rights,civil_liberties,total_freedom_score
Afghanistan,AFG,0.0,85.3,1010000000000.0,62.88,12.26,-1.18,43.13,984763,22404909,156.81,7.949999999999999,14502158192.0,-6.24,352.6,54.51,1.45,77454299.5,Not Free,1.0,5.0,6.0
Albania,ALB,0.0,100.0,1770000000000.0,76.83,38.68,-0.41,16.15,462629,1866557,131.75,6.73,18916378861.0,4.86,6810.11,47.75,1.58,886411.0,Partly Free,28.0,40.0,68.0
Algeria,DZA,0.0,100.0,26400000000000.0,77.13,28.3,-0.64,30.64,2868322,28275097,181.62,9.27,226000000000.0,3.6,5023.25,20.39,4.78,77454299.5,Not Free,10.0,22.0,32.0
Andorra,AND,0.0,100.0,1335000000000.0,73.045,88.68,1.27,12.8,11948,57663,142.415,8.0,3380602043.0,9.56,42350.7,47.81,1.46,43398343.0,Free,38.0,55.0,93.0
Angola,AGO,0.0,48.5,1470000000000.0,61.93,30.66,-0.6,45.02,925334,18643225,708.32,21.36,104000000000.0,3.05,2933.48,25.3,1.33,77204455.0,Not Free,10.0,18.0,28.0
Antigua and Barbuda,ATG,0.0,100.0,1710000000000.0,79.24,63.21,0.31,18.55,9956,66416,127.48,7.53,1867733333.0,9.52,19919.73,62.94,1.45,0.0,Free,33.0,52.0,85.0
Argentina,ARG,0.0,100.0,782000000000.0,76.06,36.32,-0.45,23.05,5510419,30065743,156.81,7.949999999999999,631000000000.0,4.96,13650.6,15.35,0.41,663679612.0,Free,35.0,50.0,85.0
Armenia,ARM,0.0,100.0,6100000000000.0,73.37,56.13,0.03,20.48,365584,1845507,152.24,8.64,19513474648.0,12.6,7018.05,50.99,4.32,476798137.0,Partly Free,23.0,31.0,54.0
Aruba,ABW,0.0,99.9,1335000000000.0,74.99,77.83,0.76,16.24,17182,71975,142.415,8.0,3544707788.0,10.46,33300.84,77.33,1.46,1735161.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Australia,AUS,1.0,100.0,2330000000000.0,83.2,95.28,1.76,18.18,4396976,16887993,132.47,6.59,1690000000000.0,4.27,65077.68,19.71,1.9,7759351128.0,Free,38.0,57.0,95.0
Austria,AUT,1.0,100.0,369000000000.0,81.09,84.91,1.26,14.38,1790922,5950883,133.51,8.55,471000000000.0,4.81,52084.68,61.6,0.77,26998954256.0,Free,37.0,56.0,93.0
Azerbaijan,AZE,0.0,100.0,1710000000000.0,73.49,16.98,-1.04,23.48,720841,7039605,195.76,13.85,78807470588.0,4.71,7770.59,27.0,4.55,49457683.0,Not Free,0.0,7.0,7.0
"Bahamas, The",BHS,0.0,100.0,11859249071.0,74.36,84.43,1.26,19.06,36452,295378,126.35,5.61,13136400000.0,10.78,32041.25,43.75,1.46,0.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Bahrain,BHR,0.0,100.0,1710000000000.0,79.25,59.43,0.14,20.19,55291,1119746,119.5,3.63,44383297872.0,4.89,30146.93,42.18,3.17,18152069.0,Not Free,2.0,10.0,12.0
Bangladesh,BGD,0.0,99.4,30400000000000.0,73.7,15.57,-1.08,25.97,10347220,116383491,215.86,7.7,460000000000.0,7.1,2687.9,20.9,1.13,77454299.5,Partly Free,15.0,25.0,40.0
Barbados,BRB,0.0,100.0,1710000000000.0,77.71,89.15,1.28,16.92,45840,188128,155.65,7.949999999999999,5840673700.0,13.48,20738.45,42.18,1.45,18830530.0,Free,37.0,57.0,94.0
Belarus,BLR,0.0,100.0,126000000000.0,73.11,31.6,-0.58,16.78,1585791,6094192,676.63,15.21,73775179925.0,-4.66,7994.65,56.97,1.2,77454299.5,Not Free,2.0,6.0,8.0
Belgium,BEL,1.0,100.0,449000000000.0,81.7,89.62,1.5,16.53,2305505,7448221,132.46,9.6,584000000000.0,3.01,49942.09,97.33,1.18,65782548564.0,Free,39.0,57.0,96.0
Belize,BLZ,0.0,98.6,5082225392.0,70.96,48.11,-0.24,27.74,20615,272238,116.62,6.28,2830507576.0,8.73,6984.22,55.58,0.86,17.0,Free,34.0,53.0,87.0
Benin,BEN,0.0,56.5,9860000000000.0,59.95,50.47,-0.12,42.43,409209,7277900,117.61,1.35,17425418044.0,6.25,1304.99,29.28,0.56,1462911.0,Partly Free,19.0,42.0,61.0
Bhutan,BTN,0.0,100.0,177000000000.0,72.23,90.09,1.51,22.14,48934,560261,203.57,5.64,2898227713.0,5.21,3704.02,60.14,1.45,77454299.5,Partly Free,30.0,33.0,63.0
Bolivia,BOL,0.0,99.9,49490555188.0,64.93,20.75,-0.89,30.83,592854,7862863,153.45,1.75,44008282880.0,3.61,3600.12,35.14,1.48,35257665.0,Partly Free,27.0,39.0,66.0
Bosnia and Herzegovina,BIH,0.0,100.0,35964227792.0,75.29,25.94,-0.68,14.87,594962,2157762,156.81,7.949999999999999,24534663636.0,4.23,7587.59,61.88,0.81,342055996.0,Partly Free,17.0,34.0,51.0
Botswana,BWA,0.0,75.9,193000000000.0,65.91,74.06,0.66,32.6,96112,1676627,182.72,11.67,20321958850.0,5.49,7726.11,42.07,2.74,38743818.0,Free,28.0,44.0,72.0
Brazil,BRA,0.0,100.0,4290000000000.0,73.42,32.08,-0.57,20.27,21265888,150400744,204.48,9.28,1950000000000.0,3.02,9065.5,19.19,1.05,7651750559.0,Free,30.0,42.0,72.0
Brunei Darussalam,BRN,0.0,100.0,21575310840.0,74.55,83.96,1.17,22.06,27708,322264,106.48,3.68,16681536467.0,-1.63,37152.48,60.58,2.37,28422229.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Bulgaria,BGR,1.0,100.0,118000000000.0,74.36,50.0,-0.16,14.0,1446752,4113496,138.58,15.33,90346169915.0,3.93,13974.45,68.99,1.51,2248380615.0,Free,32.0,46.0,78.0
Burkina Faso,BFA,0.0,19.5,10500000000000.0,59.77,51.89,-0.08,43.72,574422,12185694,130.79,14.29,18820219331.0,1.78,830.04,33.1,3.09,3443803.0,Not Free,3.0,24.0,27.0
Burundi,BDI,0.0,10.3,1900000000000.0,61.98,4.25,-1.52,45.77,319917,6669914,251.7,18.8,3338722828.0,1.85,259.03,23.34,2.76,277799.0,Not Free,4.0,10.0,14.0
Cabo Verde,CPV,0.0,97.1,207000000000.0,74.72,81.13,0.98,26.18,32924,404943,122.22,7.93,2303738020.0,17.44,3883.91,56.24,0.55,20796.0,Free,38.0,54.0,92.0
Cambodia,KHM,0.0,92.3,91400000000000.0,69.9,9.91,-1.24,28.95,973517,10940260,145.22,5.34,29504829319.0,5.24,1759.61,54.85,2.1,1192959337.0,Not Free,4.0,19.0,23.0
Cameroon,CMR,0.0,71.0,24500000000000.0,60.96,13.21,-1.13,42.21,744889,15386690,132.07,6.25,43644068311.0,3.58,1563.49,22.0,0.95,77454299.5,Not Free,6.0,9.0,15.0
Canada,CAN,0.0,100.0,2370000000000.0,81.3,93.4,1.66,15.58,7411781,25461701,129.86,6.8,2160000000000.0,3.82,55509.39,33.71,1.24,30335008047.0,Free,39.0,58.0,97.0
Central African Republic,CAF,0.0,15.7,782000000000.0,54.48,8.96,-1.25,48.13,140101,2753527,169.94,5.58,2382618615.0,0.5,427.06,32.93,1.7,16373796.0,Not Free,1.0,4.0,5.0
Chad,TCD,0.0,11.7,5250000000000.0,53.0,4.72,-1.49,47.51,355936,8947169,129.06,5.79,12396807590.0,2.8,699.46,40.4,2.93,77454299.5,Not Free,1.0,14.0,15.0
Chile,CHL,0.0,100.0,210000000000000.0,79.52,80.66,0.97,18.32,2554579,13458005,158.63,11.64,302000000000.0,2.06,15411.17,39.47,1.83,1270023182.0,Free,38.0,56.0,94.0
China,CHN,0.0,100.0,1710000000000.0,78.59,55.19,0.02,17.25,193783391,974838887,131.92,1.97,17900000000000.0,2.99,12662.58,17.56,1.6,770000000000.0,Not Free,-2.0,11.0,9.0
Colombia,COL,0.0,100.0,1020000000000000.0,73.66,41.04,-0.36,21.34,4668152,36134433,164.78,10.18,345000000000.0,7.29,6657.09,27.84,3.08,883404294.0,Free,31.0,39.0,70.0
Comoros,COM,0.0,89.9,426000000000.0,63.68,9.43,-1.24,38.04,35800,482706,156.81,7.949999999999999,1242519408.0,2.39,1484.89,35.07,1.45,77454299.5,Partly Free,16.0,26.0,42.0
"Congo, Dem. Rep.",COD,0.0,21.5,22300000000000.0,59.74,3.3,-1.54,46.54,2891552,50041821,142.415,8.0,65801547620.0,8.92,664.59,48.23,0.58,17597529.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
"Congo, Rep.",COG,0.0,50.6,4030000000000.0,63.05,7.08,-1.36,41.05,162448,3357077,133.09,3.04,15817030157.0,1.48,2649.23,34.35,1.85,322122034.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Costa Rica,CRI,0.0,100.0,37300000000000.0,77.32,66.98,0.47,20.19,560871,3573975,142.94,8.27,69243626029.0,4.55,13365.36,39.09,1.45,1921488086.0,Free,38.0,53.0,91.0
Cote d'Ivoire,CIV,0.0,70.4,38500000000000.0,58.92,42.45,-0.35,41.48,674709,15805992,125.27,5.28,70173140101.0,6.22,2491.9,28.9,0.89,58372249.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Croatia,HRV,1.0,100.0,56227761601.0,77.58,59.91,0.15,14.08,861959,2450668,124.96,10.78,71997070660.0,7.03,18673.18,64.99,2.17,1723344099.0,Free,34.0,49.0,83.0
Cuba,CUB,0.0,100.0,51004106209.0,78.16,52.36,-0.07,15.72,1772517,7677039,156.81,7.949999999999999,29504829319.0,1.77,5023.25,48.79,1.45,77454299.5,Not Free,1.0,11.0,12.0
Curacao,CUW,0.0,100.0,1335000000000.0,73.045,46.23,-0.28,17.15,22424,101844,142.415,8.0,3073840325.0,7.9,20492.82,47.81,1.46,322122034.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Cyprus,CYP,1.0,100.0,25474456280.0,81.89,66.04,0.42,15.93,185584,866553,113.11,8.4,29250532020.0,5.06,32048.25,94.72,1.81,93589529.0,Free,38.0,54.0,92.0
Czechia,CZE,1.0,100.0,5230000000000.0,79.03,74.53,0.66,15.95,2203094,6766557,143.61,15.1,291000000000.0,2.35,27226.62,75.47,1.36,45217937911.0,Free,36.0,58.0,94.0
Denmark,DNK,1.0,100.0,2460000000000.0,81.3,100.0,2.4,16.06,1209352,3745673,121.55,7.7,400000000000.0,2.73,67790.05,58.92,1.42,14326669683.0,Free,40.0,57.0,97.0
Djibouti,DJI,0.0,65.0,503000000000.0,62.86,23.58,-0.79,30.39,50841,729355,130.25,5.18,3674298479.0,3.73,3278.14,171.19,1.45,77454299.5,Not Free,5.0,19.0,24.0
Dominica,DMA,0.0,100.0,1710000000000.0,72.98,69.34,0.54,19.63,6927,51532,114.48,7.78,607159259.0,5.58,8347.32,42.18,1.45,77454299.5,Free,37.0,56.0,93.0
Dominican Republic,DOM,0.0,98.1,2840000000000.0,74.17,37.26,-0.44,27.11,831425,7353464,161.56,8.81,114000000000.0,4.86,10111.25,32.17,0.72,406158607.0,Partly Free,27.0,41.0,68.0
Ecuador,ECU,0.0,100.0,113000000000.0,77.89,29.72,-0.63,25.69,1409195,11966791,128.18,3.47,117000000000.0,6.19,6476.64,30.84,2.16,124665033.0,Partly Free,29.0,38.0,67.0
"Egypt, Arab Rep.",EGY,0.0,100.0,7840000000000.0,70.16,26.42,-0.68,32.86,5365058,69152645,363.25,13.9,477000000000.0,6.59,4295.41,21.9,1.06,638950944.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
El Salvador,SLV,0.0,100.0,26210165024.0,71.47,27.83,-0.64,25.42,520928,4205043,122.91,7.2,31988920000.0,2.8,5048.44,56.49,1.32,414258325.0,Partly Free,21.0,32.0,53.0
Equatorial Guinea,GNQ,0.0,67.0,4890000000000.0,61.19,2.83,-1.6,38.49,52336,977879,136.38,4.79,13486788879.0,3.72,8052.26,34.56,1.1,77454299.5,Not Free,0.0,5.0,5.0
Eritrea,ERI,0.0,55.4,1710000000000.0,66.6,8.02,-1.28,39.2,147850,2092169,156.81,7.949999999999999,29504829319.0,4.17,5023.25,42.18,1.45,77454299.5,Not Free,1.0,2.0,3.0
Estonia,EST,0.0,100.0,26763818847.0,77.94,91.04,1.54,16.41,277581,849966,151.94,19.4,37921480882.0,-0.46,28114.14,86.31,2.09,2285853223.0,Free,38.0,57.0,95.0
Eswatini,SWZ,0.0,82.3,51344454263.0,56.36,26.89,-0.67,34.69,48082,736679,142.415,8.0,4790922789.0,0.48,3986.89,47.59,1.65,322122034.0,Not Free,1.0,16.0,17.0
Ethiopia,ETH,0.0,55.0,2370000000000.0,65.64,36.79,-0.44,39.63,3875306,70615185,659.22,33.89,127000000000.0,5.32,1027.5,18.35,0.9,9014081.0,Not Free,10.0,10.0,20.0
Fiji,FJI,0.0,92.0,1710000000000.0,68.31,64.62,0.39,28.61,54838,608930,134.9,4.52,4979979531.0,20.02,5356.16,69.19,1.4,2267149.0,Partly Free,27.0,39.0,66.0
Finland,FIN,0.0,100.0,234000000000.0,81.19,99.53,2.25,15.17,1293168,3419917,123.33,7.12,282000000000.0,1.34,50734.71,47.81,1.72,4490473203.0,Free,40.0,60.0,100.0
France,FRA,0.0,100.0,2360000000000.0,82.23,85.38,1.26,17.2,14721512,41559412,118.26,5.22,2780000000000.0,2.45,40886.25,38.56,1.94,95753974734.0,Free,38.0,51.0,89.0
Gabon,GAB,0.0,93.5,19200000000000.0,65.69,16.04,-1.05,36.28,92858,1429309,130.95,4.23,21071739228.0,2.97,8820.35,16.56,1.26,77454299.5,Not Free,2.0,18.0,20.0
"Gambia, The",GMB,0.0,65.4,67504932005.0,62.91,46.23,-0.28,43.06,65650,1475251,219.08,11.51,2175099790.0,4.92,803.81,30.97,0.69,322122034.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Georgia,GEO,0.0,100.0,56826824520.0,71.59,72.17,0.62,21.26,542343,2380726,172.34,11.9,24984568960.0,10.96,6729.85,62.22,1.43,39449988.0,Partly Free,22.0,36.0,58.0
Germany,DEU,1.0,100.0,3190000000000.0,80.71,95.75,1.82,13.96,18781831,53319483,124.49,6.87,4080000000000.0,1.81,48717.99,48.96,1.39,223000000000.0,Free,39.0,54.0,93.0
Ghana,GHA,0.0,85.1,183000000000.0,63.94,52.83,-0.05,36.94,1190029,19920727,441.67,31.26,74263364042.0,3.82,2218.41,35.45,0.35,77454299.5,Free,35.0,45.0,80.0
Greece,GRC,0.0,100.0,188000000000.0,80.64,56.6,0.04,13.87,2379620,6601149,111.74,9.65,218000000000.0,5.56,20867.27,58.86,3.69,2818932039.0,Free,35.0,50.0,85.0
Grenada,GRD,0.0,94.2,1710000000000.0,75.33,67.45,0.48,23.97,12622,82749,111.38,2.58,1224577778.0,7.32,9762.41,42.18,1.45,110475.0,Free,37.0,52.0,89.0
Guatemala,GTM,0.0,99.1,565000000000.0,68.67,11.32,-1.21,32.4,852613,10882128,164.39,6.89,95003330316.0,4.12,5473.21,35.65,0.46,368666406.0,Partly Free,17.0,29.0,46.0
Guinea,GIN,0.0,47.7,77000000000000.0,58.98,18.4,-1.01,41.54,460700,7641239,361.72,10.49,20999229260.0,4.7,1515.17,63.81,2.04,77454299.5,Not Free,7.0,23.0,30.0
Guinea-Bissau,GNB,0.0,37.4,897000000000.0,59.86,11.79,-1.19,40.11,59368,1201577,127.51,9.39,1714166526.0,4.2,814.11,30.37,1.61,77454299.5,Partly Free,17.0,26.0,43.0
Guyana,GUY,0.0,93.0,1710000000000.0,65.99,45.28,-0.3,28.61,50760,526555,130.79,6.12,14718388489.0,63.44,18199.47,42.18,0.57,111140.0,Free,30.0,43.0,73.0
Haiti,HTI,0.0,49.3,621000000000.0,63.73,5.19,-1.46,32.08,526290,7342677,409.13,33.98,20253551921.0,-1.68,1748.26,29.29,0.07,77454299.5,Not Free,11.0,19.0,30.0
Honduras,HND,0.0,94.4,214000000000.0,70.73,18.87,-1.0,30.12,445565,6845036,177.3,9.09,31426041807.0,4.14,3012.22,70.26,1.53,77454299.5,Partly Free,22.0,26.0,48.0
"Hong Kong SAR, China",HKG,1.0,100.0,2750000000000.0,83.66,92.45,1.61,12.04,1503940,4957645,139.68,1.88,359000000000.0,-3.68,48828.12,190.39,1.46,194000000000.0,Free,36.25,53.4375,89.6875
