country_name,country_code,status,access_to_electricity,gross_domestic_income,life_expectancy,control_of_corruption_percentile,control_of_corruption_estimate,population_0_14%,population_65_above_total,population_15_64_total,consumer_price_index_2010,inflation_annual%,gdp_current_usd,gdp_growth_annual%,gdp_per_capita_current_usd,imports_%gdp,military_expenditure_%gdp,high_technology_exports_usd,freedom_status,political_rights,civil_liberties,total_freedom_score
Luxembourg,LUX,1.0,100.0,63956192916.0,83.05,96.23,1.88,15.8,98152,451762,126.5,6.34,81641807866.0,1.38,125006.02,177.24,0.7,804989238.0,Free,38.0,59.0,97.0
"Macao SAR, China",MAC,0.0,100.0,195000000000.0,85.38,79.72,0.87,14.82,90342,501815,146.77,1.05,24464719190.0,-21.4,35192.53,87.49,1.46,0.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Madagascar,MDG,0.0,36.1,20500000000000.0,65.23,17.92,-1.01,39.07,991567,17050747,219.81,8.16,15302510500.0,3.8,516.77,39.23,0.65,6075603.0,Partly Free,24.0,34.0,58.0
Malawi,MWI,0.0,14.0,1710000000000.0,62.9,30.19,-0.61,42.59,532306,11181843,600.93,20.95,13129458326.0,0.92,643.43,42.18,0.64,2421297.0,Partly Free,29.0,37.0,66.0
Malaysia,MYS,0.0,100.0,1540000000000.0,76.26,62.26,0.25,22.67,2546223,23697233,127.21,3.38,407000000000.0,8.65,11993.19,69.71,0.96,66214448416.0,Partly Free,22.0,31.0,53.0
Maldives,MDV,0.0,100.0,1710000000000.0,80.84,39.62,-0.4,21.68,25054,385180,138.58,2.33,6170638746.0,13.91,11780.82,42.18,1.45,37875.0,Partly Free,21.0,23.0,44.0
Mali,MLI,0.0,53.0,6080000000000.0,59.42,21.23,-0.88,47.19,538006,11393892,124.41,9.62,18780322204.0,3.47,831.22,39.73,2.83,77454299.5,Not Free,6.0,20.0,26.0
Malta,MLT,1.0,100.0,15063629571.0,82.7,61.79,0.24,13.15,101593,359684,123.02,6.15,18357069273.0,8.08,34563.4,152.68,0.5,206522669.0,Free,35.0,52.0,87.0
Mauritania,MRT,0.0,49.0,321000000000.0,64.69,23.11,-0.8,41.61,152658,2612981,156.81,9.53,9744039515.0,6.39,2057.38,55.01,2.27,1093142.0,Partly Free,15.0,24.0,39.0
Mauritius,MUS,0.0,100.0,447000000000.0,73.51,65.57,0.41,16.31,161507,895124,153.57,10.77,12927979286.0,8.88,10239.8,62.88,0.17,16815518.0,Free,35.0,50.0,85.0
Mexico,MEX,0.0,100.0,24000000000000.0,74.83,17.45,-1.01,24.51,10612344,85644224,166.89,7.9,1460000000000.0,3.95,11476.68,45.69,0.61,85898585526.0,Partly Free,27.0,33.0,60.0
"Micronesia, Fed. Sts.",FSM,0.0,85.3,1335000000000.0,70.92,67.92,0.48,30.31,7027,72534,126.91,5.41,430000000.0,-0.78,3766.51,63.8,1.46,322122034.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Moldova,MDA,0.0,100.0,173000000000.0,68.62,42.92,-0.34,19.31,329641,1718953,233.35,28.74,14510490660.0,-5.02,5715.28,69.49,0.32,22595261.0,Partly Free,26.0,35.0,61.0
Mongolia,MNG,0.0,100.0,35300000000000.0,72.67,33.02,-0.56,32.47,156687,2138395,251.17,15.15,17146471714.0,5.03,5045.5,71.27,0.6,51108193.0,Free,36.0,48.0,84.0
Montenegro,MNE,0.0,100.0,4335110053.0,76.19,50.94,-0.12,18.1,102150,403377,134.8,13.04,6229801581.0,6.41,10093.44,74.37,1.61,14404160.0,Partly Free,27.0,42.0,69.0
Morocco,MAR,0.0,100.0,1200000000000.0,74.97,41.51,-0.36,26.58,2891937,24608096,120.97,6.66,131000000000.0,1.26,3441.99,56.31,3.9,1268377658.0,Partly Free,13.0,24.0,37.0
Mozambique,MOZ,0.0,33.2,1170000000000.0,59.62,21.7,-0.84,43.52,846774,17774048,221.44,10.28,18406835495.0,4.36,558.3,83.02,1.51,18227565.0,Partly Free,14.0,30.0,44.0
Myanmar,MMR,0.0,73.7,1710000000000.0,67.26,12.74,-1.15,24.64,3692668,37136469,156.81,7.949999999999999,62253049892.0,4.04,1149.02,42.18,3.05,200664152.0,Not Free,0.0,8.0,8.0
Namibia,NAM,0.0,56.2,160000000000.0,58.06,60.85,0.22,36.24,101885,1534823,177.47,6.08,12567271005.0,5.35,4895.68,58.76,3.0,764250.0,Free,31.0,46.0,77.0
Nauru,NRU,0.0,100.0,1710000000000.0,64.01,71.7,0.6,38.77,311,7444,156.81,7.949999999999999,153824609.0,2.16,12142.77,113.21,1.45,77454299.5,Free,34.0,43.0,77.0
Nepal,NPL,0.0,91.3,2550000000000.0,70.48,33.96,-0.53,28.88,1859500,19864639,222.29,7.65,41182939601.0,5.63,1348.16,42.27,1.14,3330281.0,Partly Free,28.0,34.0,62.0
Netherlands,NLD,1.0,100.0,790000000000.0,81.71,96.7,1.92,15.42,3595905,11374713,132.58,10.0,1010000000000.0,4.33,57025.01,82.96,1.58,92149414409.0,Free,39.0,58.0,97.0
New Zealand,NZL,1.0,100.0,312000000000.0,82.76,99.06,2.16,18.7,834533,3325532,129.44,7.17,247000000000.0,2.77,48216.51,29.69,1.18,819871309.0,Free,40.0,59.0,99.0
Nicaragua,NIC,0.0,86.5,201000000000.0,74.61,7.55,-1.29,29.72,367848,4515199,195.58,10.47,15649934215.0,3.75,2252.31,65.49,0.53,37235931.0,Not Free,4.0,12.0,16.0
Niger,NER,0.0,19.5,8390000000000.0,62.08,31.13,-0.59,48.85,629989,12776544,121.75,4.23,15433852712.0,11.9,588.9,22.81,1.66,5916151.0,Partly Free,6.0,27.0,33.0
Nigeria,NGA,0.0,60.5,1710000000000.0,53.63,14.62,-1.1,43.04,6500481,117970520,421.07,18.85,473000000000.0,3.25,2162.63,42.18,0.64,76499040.0,Partly Free,20.0,24.0,44.0
North Macedonia,MKD,0.0,100.0,502000000000.0,74.42,43.87,-0.32,16.01,273071,1265373,135.29,14.2,13711469681.0,2.22,7485.6,94.87,1.61,286568130.0,Partly Free,28.0,39.0,67.0
Norway,NOR,1.0,100.0,4490000000000.0,82.56,98.11,2.07,16.71,1006045,3539342,133.33,5.76,594000000000.0,3.01,108798.45,27.15,1.64,5273631388.0,Free,39.0,59.0,98.0
Oman,OMN,0.0,100.0,1710000000000.0,73.94,57.55,0.05,27.03,126243,3213224,118.27,2.51,115000000000.0,4.31,25056.79,42.18,5.17,784357485.0,Not Free,6.0,18.0,24.0
Pakistan,PAK,0.0,95.0,41200000000000.0,66.43,22.64,-0.8,36.57,10078443,139515778,262.62,19.87,375000000000.0,4.77,1589.26,22.5,2.63,329499960.0,Partly Free,14.0,21.0,35.0
Palau,PLW,0.0,100.0,223375850.0,71.28,71.7,0.6,21.02,1784,12476,139.97,12.35,242333709.0,-0.36,13421.97,78.34,1.45,77454299.5,Free,37.0,55.0,92.0
Panama,PAN,0.0,95.0,71998634878.0,76.83,28.77,-0.63,26.13,386684,2869851,125.63,2.86,76522511781.0,10.81,17357.63,47.99,1.45,333696.0,Free,35.0,48.0,83.0
